cam_id;router_id
901000337;115000111
901000338;115000111
901000339;115000111
901000340;115000112
901000341;115000112
901000342;115000113
901000343;115000113
901000344;115000114
901000345;115000114
901000346;115000114
901000347;115000115
901000348;115000115
901000349;115000115
901000350;115000116
901000351;115000116
901000352;115000117
901000353;115000117
901000354;115000117
901000355;115000117
901000356;115000118
901000357;115000119
901000358;115000119
901000359;115000119
901000360;115000119
901000361;115000120
901000362;115000120
901000363;115000120
901000364;115000120
901000365;115000121
901000366;115000121
901000367;115000122
901000368;115000122
901000369;115000122
901000370;115000122
901000380;115000122
901000381;115000122
901000382;115000123
901000383;115000124
901000384;115000124
901000385;115000124
901000389;115000126
901000390;115000126
901000391;115000126
901000392;115000127
901000393;115000127
901000394;115000127
901000395;115000127
901000396;115000128
901000397;115000128
901000398;115000128
901000399;115000128
901000400;115000129
901000401;115000129
901000402;115000130
901000403;115000131
901000404;115000131
901000405;115000132
901000406;115000133
901000407;115000133
901000408;115000133
901000409;115000134
901000410;115000134
901000411;115000135
901000412;115000135
901000413;115000135
901000414;115000136
901000415;115000137
901000416;115000137
901000417;115000138
901000418;115000138
901000419;115000138
901000420;115000139
901000421;115000139
901000440;115000144
901000441;115000144
901000442;115000144
901000443;115000144
901000444;115000144
901000445;115000145
901000446;115000145
901000447;115000146
901000448;115000146
901000449;115000146
901000450;115000146
901000451;115000146
901000452;115000147
901000453;115000147
901000454;115000147
901000455;115000148
901000456;115000148
901000457;115000148
901000458;115000148
901000459;115000149
901000460;115000149
901000461;115000149
901000462;115000149
901000463;115000150
901000464;115000150
901000465;115000150
911000177;115000200
911000178;115000200
911000179;115000200
911000180;115000200
911000181;115000200
911000001;115000201
911000002;115000201
911000003;115000201
911000004;115000201
911000005;115000201
911000006;115000201
911000007;115000201
911000008;115000202
911000009;115000202
911000010;115000202
911000011;115000202
911000175;115000300
911000176;115000300
